author_id	viaf
"f1ed4d42-5b30-4912-ac62-afe93363f85f"	"http://viaf.org/viaf/36828811"
"908f0d6c-57c5-4ac1-8e8f-8cc18bb39607"	"http://viaf.org/viaf/46298127"
"9fc54ba9-5949-4794-bcc3-74c48ab79786"	"http://viaf.org/viaf/37073404"
"461bb7d6-ffb7-4e70-a8dc-299a5c304ffa"	"http://viaf.org/viaf/289347695"
"f26b388b-338b-47b2-9e93-23173f77c2de"	"http://viaf.org/viaf/216021587"
"fadf22b8-1bc5-41bf-8198-0024c8dcac5e"	"http://viaf.org/viaf/56152636061520050542"
"0a839e13-a3d6-4148-8cd9-02a9eb9dd2a9"	"http://viaf.org/viaf/283594521"
"c5ecfb7c-308c-48f3-a5b6-b16218216869"	"http://viaf.org/viaf/17233237"
"ac9ca359-dd34-45e8-aafc-d2e8a37348d8"	"http://viaf.org/viaf/87673996"
"d266e37a-524a-43e5-ad36-6687e37626b7"	"http://viaf.org/viaf/309702917"
"56d5f155-83de-43e4-b1bf-a45316debf49"	"http://viaf.org/viaf/18163012"
"e46c0600-942d-4e16-81a8-2cebde45ddb7"	"http://viaf.org/viaf/47703511"
"0a803045-a1c5-40e7-866e-7ae53f3fd01d"	"http://viaf.org/viaf/282221572"
"494a0221-ef20-4b7b-a093-c9b5cff57659"	"http://viaf.org/viaf/284037588"
"e896084a-e93b-4c40-9cba-a35edbfae117"	"http://viaf.org/viaf/40464368"
"17e81fe5-db39-4e7d-b494-2aa5a8a47d1d"	"http://viaf.org/viaf/231662627"
"17e81fe5-db39-4e7d-b494-2aa5a8a47d1d"	"http://viaf.org/viaf/1048144"
"8635985b-8800-46c7-aed5-732de6233cad"	"http://viaf.org/viaf/1048144"
"82ea7a56-a7de-4018-b038-7cba1a8ece62"	"http://viaf.org/viaf/292827989"
"3c4ea2af-ef0a-4923-b887-5fb7caa8947e"	"http://viaf.org/viaf/247349160"
"4c6f805f-af1f-4fcf-b5c2-63c94adaba3c"	"http://viaf.org/viaf/7814388"
"982e4f01-e672-4359-807b-1b19484d4e76"	"http://viaf.org/viaf/1471161211647840070008"
"946c9891-9a80-4435-b35a-e85ade843be8"	"http://viaf.org/viaf/19633454"
"8d206fbe-0bbe-442f-a100-99b222f740fb"	"http://viaf.org/viaf/280443193"
"5e791d7b-ef1c-4691-b73c-9efde333c4c1"	"http://viaf.org/viaf/7421281"
"0780cf24-dd6e-4c3c-8ca7-f904a2cc05fc"	"http://viaf.org/viaf/64000104"
"8c6eb854-decd-4852-b5e0-48c7c3a716b0"	"http://viaf.org/viaf/181152636162120052401"
"4987b576-2461-4211-b08a-c3fb1f2c7865"	"http://viaf.org/viaf/32347652"
"3bb6898d-94cf-48ae-82f0-57881de034a1"	"http://viaf.org/viaf/69756646"
"94812e07-78e6-4505-b799-f46ce8ca9a00"	"http://viaf.org/viaf/29870868"
"64c89a9f-c0a8-4dd9-99df-1dd795dcbc80"	"http://viaf.org/viaf/286532073"
"304d665e-6cb2-4249-a157-92770652501b"	"http://viaf.org/viaf/30434386"
"f65a18f7-6cbe-4aa6-b365-ddec7b92daab"	"http://viaf.org/viaf/15711702"
"46b433b4-076c-475d-aee3-2ca12fca6185"	"http://viaf.org/viaf/66542815"
