id	origin	earliest	latest	form	form_type	is_anonymous	genre	subgenre	has_dramaweb_scan	has_dramaweb_transcription	ceneton_scan	ceneton_transcription	external_scan	external_transcription	fingerprint	literature	remarks	link_ub_antwerp	link_kbb	link_ub_gent	link_bnf	link_kb	link_google	link_bll
"df2968f3-4b69-4a4f-a9e4-d5e5c9b21249"	"M696"	"1662-01-01"	"1662-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"166204"									
"74bcc66d-7ba3-42e9-b576-1cce301aab31"	"M699"	"1662-01-01"	"1662-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"166204"									
"bc4a88e2-e7f8-4164-84ee-e7d9cfcea29e"	"M703"	"1662-01-01"	"1662-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"166204"									
"a3c4e28d-5979-4229-9709-f3d1bace44ad"	"M725"	"1663-01-01"	"1663-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"4"									
"3797dc6c-76bc-456d-a83e-a969746550d1"	"M740"	"1664-01-01"	"1664-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"	"4"									
"d0b777df-8117-4208-814e-9e350f159f04"	"M744"	"1665-01-01"	"1665-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"	"Martyr tragedy"	"f"	"f"				"f"	"166504"									
"017db0d6-92ac-4fb4-93ce-6b03e234b5ed"	"M750"	"1666-01-01"	"1666-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"				"f"										
"2b2c5907-4477-40cb-bba1-9c04e541ecf0"	"M773"	"1669-01-01"	"1669-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"166904"									
"9c715404-0489-4e46-8150-837fb2e84eb9"	"M774"	"1669-01-01"	"1669-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"	"166904"									
"d663b24b-985e-43a5-9bf3-9b637352d5d1"	"M780"	"1671-01-01"	"1671-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"	"Martyr tragedy"	"f"	"f"				"f"	"4"									
"531ba595-f045-465d-a8b6-3ca6920b0038"	"M801"	"1673-01-01"	"1673-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"	"4"									
"0524053f-0034-4094-9342-14742723ed02"	"M809"	"1678-01-01"	"1678-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"	"4"									
"74e70e1c-cafe-401e-8923-f8fa7121e95b"	"M832"	"1680-01-01"	"1680-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"				"f"	"4"									
"cda61167-412b-4737-9beb-0de36a28e814"	"M883"	"1691-01-01"	"1691-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"bf235420-0c7e-4610-a109-cc393ee96bbd"	"M893"	"1693-01-01"	"1693-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"d3ce9386-6e1c-49e2-8feb-2571e2cc041b"	"M320"	"1623-01-01"	"1623-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"4e02efae-7912-4b74-bad6-96566f14a000"	"M328"	"1624-01-01"	"1624-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comical tragedy"		"f"	"f"			"http://books.google.nl/books?id=-lc_AAAAcAAJ&printsec=frontcover&dq=ghedaghtenisse+des+doots&hl=nl&sa=X&ei=27ndUKKrEauq0AXT2ICABg&redir_esc=y"	"f"										
"281a8a5a-4c8e-4b1b-9957-dad034a159fe"	"M330"	"1625-01-01"	"1625-12-31"	"First Printing"	"Full edition"	"f"	"Tragedy"		"f"	"f"				"f"						"https://lib.ugent.be/catalog/rug01:001236882"				
"3e3567a6-e702-4384-96e8-ad87577bec2e"	"M1437"	"1729-01-01"	"1729-12-31"	"Mention"	"Fragment"	"f"	"Comedy"		"f"	"f"				"f"										
"9f9aae89-93fa-4de3-b022-131d22afac28"	"M431"	"1635-01-01"	"1635-12-31"	"First Printing"	"Full edition"	"f"	"Comical tragedy"		"t"	"t"				"f"	"163508 - a1 a2 ga : a2 a4 anu - b1 A ac : b2 D3 os$d - c1 A n : b2 B5 den"									
"f57f30c5-6161-409b-9f98-42417041c934"	"M470"	"1638-01-01"	"1638-12-31"		"Full edition"	"f"	"Tragedy"		"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"c052a0cf-23dc-4071-a3dd-d6d00723af75"	"M471"	"1638-01-01"	"1638-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"		"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"cc46d959-4569-4901-8fad-964c87ef3be1"	"M473"	"1638-01-01"	"1638-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"1620f7e7-c7f2-4948-9206-3e5e9990a939"	"M495"	"1639-01-01"	"1639-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"80ad057d-a926-43e6-a078-ae5b5b6c5f0f"	"M498"	"1639-01-01"	"1639-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"e6072399-c755-4327-a6da-a80b54fc92c3"	"M505"	"1639-01-01"	"1639-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"61296dad-0507-4c33-b290-c6f7efe94b14"	"M522"	"1640-01-01"	"1640-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"5749ba48-9e83-4f9a-9a91-d2580773e23f"	"M538"	"1641-01-01"	"1641-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"2683d2b8-f182-4d64-a348-c8e0ef5ea12c"	"M544"	"1642-01-01"	"1642-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"39147739-42bf-43fc-bff8-48f23f01d903"	"M555"	"1645-01-01"	"1645-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragicomedy"		"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"126b15de-1a4e-42c7-a6f6-00ab5cfaf8ba"	"M630"	"1654-01-01"	"1654-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"	"4"	"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"8b810117-6863-4517-bcb1-e766ffc1aec8"	"M661"	"1657-01-01"	"1657-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"808e1680-3961-4cc1-b3e4-04b75f6f2497"	"M729"	"1663-01-01"	"1663-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"53c18056-c34c-428b-8ef3-9d7cd5a16f5a"	"M1846"	"1750-01-01"	"1750-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"bac28ee1-fe24-4d99-af3e-5279d7f796e7"	"M1435"	"1728-01-01"	"1728-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"				"https://anet.be/record/opacuantwerpen/c:lvd:14051337/N"						
"01432e3e-7768-4d4a-b89e-3b24ed9adef7"	"M1486"	"1730-01-01"	"1730-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"	"000004 - b1 A2 avan"									
"62fe2bd5-7519-46a8-beaf-fe0fe8046ed0"	"M1517"	"1730-01-01"	"1730-12-31"	"Mention"	"Fragment"	"f"	"Comedy"		"f"	"f"				"f"	"000004 - "									
"47a2ecff-1773-4a7d-a273-3efc0f466ab5"	"M1034"	"1705-01-01"	"1705-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"	"170504"	"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"5144810b-61de-46f9-99b5-b65cecf1a815"	"M1150"	"1718-01-01"	"1718-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJBambaGent1718"			"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"0d5b26b7-856a-493d-986a-785748b6aa29"	"M1198"	"1721-01-01"	"1721-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"				"https://anet.be/record/opacuantwerpen/c:lvd:14052715/N"						
"6df2db8d-7fc0-40ed-b2ce-9d37e8632108"	"M1205"	"1722-01-01"	"1722-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"d63c9704-cd97-4aa1-9863-99b4eab94835"	"M1216"	"1722-01-01"	"1722-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"				"https://anet.be/record/opacuantwerpen/c:lvd:14024057/N"						
"5cdd7317-baaf-4ad5-aa43-c1e3c11c73c3"	"M1239"	"1723-01-01"	"1723-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJAepytusGent1723"			"f"										
"7e534985-05fb-4930-a4c7-c0cdeebe00d5"	"M1248"	"1723-01-01"	"1723-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJJosephAalst1723"			"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"								
"7ec925a5-b1ae-4e68-98fa-10a4c6c38eab"	"M1267"	"1724-01-01"	"1724-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"						"https://lib.ugent.be/catalog/rug01:000792976"				
"f2b2622c-8a11-4f47-89ca-ac3801974d75"	"M1268"	"1724-01-01"	"1724-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"			"Ceneton-ID komt tweemaal voor."			"https://lib.ugent.be/catalog/rug01:000792980"				
"a53be33c-4587-4614-a888-94c6506a80c1"	"M1269"	"1724-01-01"	"1724-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"			"Ceneton-ID komt tweemaal voor."			"https://lib.ugent.be/catalog/rug01:000792978"				
"11242f28-6647-4f39-8b85-5c68e37adf24"	"M1277"	"1724-01-01"	"1724-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Comedy"	"Farce"	"f"	"f"				"f"										
"2bf2da15-235b-4745-a4b8-50741ab1076b"	"M1279"	"1724-01-01"	"1724-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"dbb185ec-8184-4c5c-95a8-ec6f35975104"	"M1280"	"1724-01-01"	"1724-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/Facsimiles/SJDavidGent1724"	"https://www.let.leidenuniv.nl/Dutch/Ceneton/SJDavidGent1724.html"	"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"		"Goran Proot, Spectacula Iesuitica Belgica Antiqua (SIBA). Pars I: Provincia Flandro-Belgica (Antwerpen, 2008), p. 1-836"		"https://anet.be/record/opacuantwerpen/c:lvd:14024088/N"						
"fa93a28a-8b4d-4e7d-b57b-d9b9e7467b94"	"M1296"	"1724-01-01"	"1724-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"0c85e4e9-d034-4715-9ef4-08644b2e5e6f"	"M1304"	"1724-01-01"	"1724-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"			"http://anet.ua.ac.be/desktop/anet/core/index.phtml?language=&euser=&session=&service=opacua&robot=&deskservice=desktop&desktop=anet&workstation=&extra="	"f"				"https://anet.be/record/opacuantwerpen/c:lvd:14052857/N"						
"20cfa436-dad5-4805-afd9-28da1e73fb34"	"M1308"	"1725-01-01"	"1725-12-31"	"Synopsis (printed)"	"Synopsis"	"f"	"Tragedy"		"f"	"f"				"f"						"https://lib.ugent.be/catalog/rug01:000792989"				
"4d4c11b8-35c5-47ea-8e66-f45adaa042c0"	"M1309"	"1725-01-01"	"1725-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"						"https://lib.ugent.be/catalog/rug01:000792989"				
"a8502792-6c7b-4b06-9b99-3c32e02a3793"	"M1310"	"1725-01-01"	"1725-12-31"		"Fragment"	"f"			"f"	"f"				"f"										
"084a768a-a82e-4493-9d5b-90b3c5c41c6f"	"M1311"	"1725-01-01"	"1725-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"						"https://lib.ugent.be/catalog/rug01:000792987"				
"39d063d3-980f-44e6-a2fb-3ef871c9fe2f"	"M1312"	"1725-01-01"	"1725-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"						"https://lib.ugent.be/catalog/rug01:000792983"				
"25bf5019-2427-47d5-a02e-7fa3abd8b801"	"M1318"	"1725-01-01"	"1725-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"			"Koppelen op M- of E-niveau aan Ceneton007030"			"https://lib.ugent.be/catalog/rug01:000792990"				
"9c23a376-40e9-43f9-85f7-8dadafe5c956"	"M1333"	"1725-01-01"	"1725-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"0413471b-5635-4e3d-af1f-29212fa1f797"	"M1335"	"1725-01-01"	"1725-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
"d0fd48da-735d-40bb-b0f7-216a7ccbe5be"	"M1336"	"1725-01-01"	"1725-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"			"Koppelen op M- of E-niveau aan Ceneton006580"			"https://lib.ugent.be/catalog/rug01:000792991"				
"a0b8579f-cf10-4d4e-a6af-fc9b6866466b"	"M1339"	"1726-01-01"	"1726-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"			"http://books.google.be/books?id=dfxLAAAAcAAJ&printsec=frontcover&dq=Abram+triumphans&hl=nl&sa=X&ei=SimqUKX6LYaZ0QWLt4GgDg&ved=0CC8Q6AEwAA"	"f"										
"3f5b20ae-10bc-451e-b6db-b5bc15d82fa3"	"M1340"	"1726-01-01"	"1726-12-31"	"Synopsis (printed)"	"Synopsis"	"f"			"f"	"f"				"f"										
