work_id	expression_id
"5b94ad20-9a40-4f64-aa98-ea515fe2de5f"	"a5c354ca-f3e8-4d20-86ff-5fa982fb753a"
"31b85047-5df0-4a0f-a7a9-0abd2a24420c"	"42f4171d-82e2-49f6-b08d-20ee83c3c7fc"
"31b85047-5df0-4a0f-a7a9-0abd2a24420c"	"f2661268-e9e1-4e69-8d45-0e2ccb73aed6"
"74530eb7-081f-47ac-a51b-e9f3fc07cb27"	"f2dabdf7-df3f-4c0d-8025-98e49b0fe2fa"
"74530eb7-081f-47ac-a51b-e9f3fc07cb27"	"27f4faca-f276-409b-8b9a-514f11e13fe6"
"54466284-3bca-4ec7-8234-10defdb003b5"	"a84917ee-ce73-42c1-b07f-44d32fd22de0"
"54466284-3bca-4ec7-8234-10defdb003b5"	"8ddb9c42-43ce-4f39-89c6-7f088a17a29f"
"36140cd5-7f76-437e-9660-d59157ee3d26"	"73c4ed8d-1ffa-475c-9bbe-8feb953f7253"
"36140cd5-7f76-437e-9660-d59157ee3d26"	"d7e15104-7db1-4160-aab3-004496636fc1"
"eed34f53-4c68-4935-913b-ae92531e0acf"	"096e58c1-6832-4aae-9941-615667af7fa3"
"eed34f53-4c68-4935-913b-ae92531e0acf"	"b93819df-cf93-406e-90c8-c22e2fdf9199"
"1059d04e-dda1-40aa-89a5-9003259781b5"	"b66501e0-94bd-4fff-a5b1-af8ea0eef797"
"1059d04e-dda1-40aa-89a5-9003259781b5"	"eb13c8d5-562c-4d35-a511-202a01443680"
"482538aa-118b-4b9a-bb1d-1b6b31887acc"	"d8892ccc-6154-4fe4-a280-92d8c7859ea9"
"482538aa-118b-4b9a-bb1d-1b6b31887acc"	"c08ffae2-4120-4062-b95c-ec50b731a188"
"6afec9e3-c635-45b4-af60-e9f661c8598e"	"e6d3d4be-8ab4-4357-ba6e-e2e68506c454"
"6afec9e3-c635-45b4-af60-e9f661c8598e"	"ee0de731-556e-4ea6-aea6-5365a97cfa06"
"60413b1c-911b-47d9-835d-b2c9dce836a8"	"eb053da0-0c64-4295-b87c-b232b246cc23"
"60413b1c-911b-47d9-835d-b2c9dce836a8"	"f1a97dc0-45ef-4965-87ba-582b93804c0e"
"115b95ae-84be-4138-a802-442c451fd234"	"3cff7665-d82e-4242-a9a9-8e47d8cc8604"
"115b95ae-84be-4138-a802-442c451fd234"	"ba74b5b4-ed56-4b8a-aade-97bd10421fba"
"75b9525d-7709-40c3-8620-bcda147cb3be"	"a0e653b7-a1e1-4829-91c1-622c2aac3c89"
"75b9525d-7709-40c3-8620-bcda147cb3be"	"71496036-3ed4-4e95-967b-b5829a127e95"
"12fa54c9-84ef-44a1-9a85-09a00571486f"	"ca5e3028-b8ff-4b45-8fa8-0b13a93a186a"
"12fa54c9-84ef-44a1-9a85-09a00571486f"	"977ef4aa-16b3-44e2-b38d-bf96d81ecbed"
"b6c75dc3-2beb-4113-b9a7-e244d68ce1a3"	"8f478c2c-6470-40bb-b7c6-14368722f600"
"b6c75dc3-2beb-4113-b9a7-e244d68ce1a3"	"88f6bcfc-1288-4d36-8831-17b1a8850715"
"074317ab-0b94-4939-99a6-30a542b83ed6"	"8ae8d21a-8dbc-40ab-b76f-a114c893d952"
"074317ab-0b94-4939-99a6-30a542b83ed6"	"fd35b4f2-a5d2-4188-9626-56819243835c"
"08686f23-1b3d-4554-9c44-22acb8f604d3"	"df2b2fba-a46a-45b9-b424-f28a46e32224"
"08686f23-1b3d-4554-9c44-22acb8f604d3"	"3ee254f0-b298-4a9b-91df-607e5821fd4b"
"b662f5c1-6390-4f63-bba4-1db6ac4ce8a6"	"abaf5ef8-8bab-4986-8be5-a6171abe60a3"
"21b505eb-7bcf-4a7d-a0c4-7e260d2e69ac"	"1d956c44-aeb0-479c-8eb5-3c4a0377ea4f"
"37df0bc6-fd22-43f5-9a17-7f012c74aea0"	"0df67691-b6af-4780-b929-7310b24eac03"
"b670d06f-e342-49bd-8976-53062a8e00e3"	"7e63fa02-c291-4dae-9815-0c1727a45102"
"2c7e4caf-bff2-4aa6-bd2c-765f1221bf68"	"8a4e5538-8f53-410a-aef5-4e9212675cb8"
"9cbe606a-35b0-4c9f-b67d-6411e890cf5d"	"5512f225-0a4b-4ee2-b479-062a50544f25"
"487d943f-914c-4bf4-b1c7-b7873db04e7c"	"493211cf-4acf-4b9a-b74b-3fccf6f9d1ed"
"ca392198-e86d-4ba4-9ef5-fd32ae7542a3"	"9ab7fbf8-8d11-437a-8539-7b446a91597f"
"9570df37-cdff-47d2-8515-b72f4e158f01"	"cd2a55e0-15f3-4176-a852-bbe2e187d92b"
"546f9ea8-7e17-469f-b7b4-cbfc4959dc45"	"f9252eef-92cf-452f-a85b-339fd40bb475"
"bff07a44-d5cd-41c1-a8ef-8f6d0fa32198"	"8279b6f6-d8b4-400b-9ec5-ecd326dafbf2"
"a7ab166e-5421-4528-837c-fec2a1353f76"	"f5396952-b15a-4bb8-9ceb-7e648d5c1ef3"
"dd43bacb-0a39-4265-86b2-ac147999a405"	"e6eecdf3-df88-440b-ac9d-b214cd0f7882"
"3646dfd4-5af9-4333-a7bb-9886f039bd25"	"594b569f-11f4-4c9a-bfa0-d99138a5ff83"
"c0d42b8b-857d-44f5-b778-8954faa36caa"	"ea505b47-d94f-4a39-ba70-0b2da2af4b09"
"de6d0bf4-2338-4d57-bb14-c92cddc3498e"	"a13eb0ff-7c5e-4615-ad77-71fefecfd8e9"
"2fde6597-5dff-4bf5-9913-f3a6501f94d5"	"f051f7bf-aaf8-4462-9b9a-1f2c2f4c43e3"
"99ecf62b-63bb-4ca8-8ac4-f832cb9d6471"	"01a7bad4-9819-4f36-b971-a3a69aaa9ff4"
"f98617dc-e1e6-4b5f-a67f-050333fb3d33"	"4372e856-f778-438b-9b37-685a9610e190"
"e68c24eb-d46e-49f1-9e69-c52bf596ac1e"	"8ef1a642-ca8a-4220-a931-2a164b9f5bac"
"ae2cc27b-00bb-4931-98a5-d423147c0870"	"f8961645-4ce7-487f-88ba-ff6f8570660f"
"de21f48e-83e0-4665-8402-cffaaa393f77"	"48192fa2-0888-4404-ba4e-25f004c2ed12"
"459ec578-f593-4502-bcfd-204b671874f5"	"3e16ce42-011a-464a-9285-1c2782b6a81c"
"8b999908-f52d-45f0-be89-4c76ff89adf1"	"a52008bd-9b08-49b7-a26b-f7b2656c8634"
"77192f8c-9828-44ef-be9b-ad4b2ea0a98a"	"0ea77dd7-1047-4338-8cdf-1229927138fd"
"1806b80d-b809-414f-a65a-bf26218a9e59"	"36160517-22a6-4c9a-acc6-3ca335eeb399"
"9741eb7d-3583-4c37-acee-1b9c42e338fb"	"f1197558-7cc2-4ddc-9e51-1bc7daf438a6"
"b3ae9832-10ea-41cc-a1ec-a7f67c640186"	"1264cd14-fedd-4721-8d88-ea21c3968537"
"1a73d757-feae-4d7b-b68f-696c7fde26e5"	"b095e2c4-e682-4dd6-a091-447fdd54ecef"
